Name;ExTime;ID;ExUnit;Path;Crit;Deadline;AccUnit;AccWindow;RelWindows;RelTasks;AccNumber;AccValidExec;Res
01_NN_Task;8220;1;1;\home\test1;1;10000;1,1,1,1,1;0/5,24/41,42/44,63/71,7412/8220;;;-1,-1,-1,-1,-1;1,1,1,1,1;1
02_Img_Task;200;2;0;\home\test2;1;10000;2,2;0/50,150/200;;;-1,-1;0,0;1
03_Enc_Task;180,10;3;0,2;\home\test3;1;10000;1,1,1,1;0/10,170/180,0/2,7/10;;;-1,-1,-1,-1;0,0,2,2;1
04a_Send_Task;50;4;0;\home\test4a;1;10000;2,1;0/20,40/50;;;-1,-1;0,0;1
04b_Rec_Task;50;5;0;\home\test4b;1;10000;1,2;0/20,40/50;;;-1,-1;0,0;1
05_Choose_Task;500;6;0;\home\test5;1;10000;1,1,1;0/20,240/250,490/500;;;-1,-1,-1;0,0,0;1
06a_Parent_Task;50;7;0;\home\test6a;1;10000;1,1;0/20,40/50;-10000/-200,50/100;2,1;-1,-1;0,0;1
06b_Parent_Task;50;8;0;\home\test6b;1;10000;1,1;0/20,40/50;-8500/-8300,50/100;1,3;-1,-1;0,0;1
06c_Parent_Task;50;9;0;\home\test6c;1;10000;1,1;0/20,40/50;-8500/-8300,50/100;1,4;-1,-1;0,0;1
06d_Parent_Task;50;10;0;\home\test6d;1;10000;1,1;0/20,40/50;-200/-20,50/100;3,6;-1,-1;0,0;1
07_Sched_Task;10;11;0;\home\test7;1;10000;1;0/10;10/10000,10/10000,10/10000,10/10000,10/10000,10/10000,10/10000,10/10000,10/10000,10/10000,10/10000;1,2,3,4,5,6,7,8,9,10;-1;0;1
