Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;Min;Max;Avg
40;10;6;1;0;1;0;False;233.21957182884216;396.7884123325348;334.3121237754822
40;10;6;1;5;1;0;False;240.9333620071411;289.02393317222595;260.50675654411316
40;10;6;1;10;1;0;False;303.4523446559906;348.01561880111694;326.1568892796834
40;10;6;1;15;1;0;False;326.9435086250305;385.60209465026855;365.67306129137677
40;10;6;1;20;1;0;False;177.91821837425232;420.0552456378937;310.2269129753113
40;10;6;1;25;1;0;False;236.83256268501282;413.0446653366089;300.8442380428314
40;10;6;1;30;1;0;False;275.3758428096771;356.647940158844;319.8482630252838
40;10;6;1;35;1;0;False;245.79431009292603;289.6702642440796;272.7328468163808
40;10;6;1;40;1;0;False;294.2640218734741;434.50303769111633;377.04305903116864
40;10;6;1;45;1;0;False;305.7953565120697;379.79817748069763;350.9462103843689
40;10;6;1;50;1;0;False;230.76544046401978;387.0127627849579;298.4802855650584
40;10;6;1;55;1;0;False;306.6932225227356;348.48654675483704;327.3449935913086
40;10;6;1;60;1;0;False;223.21990585327148;513.0220084190369;335.61471009254456
30;10;6;1;0;1;0;False;375.3089671134949;438.40587639808655;404.36958169937134
30;10;6;1;5;1;0;False;415.45305466651917;631.7675921916962;517.3984375794729
30;10;6;1;10;1;0;False;432.8207507133484;521.8671867847443;490.02822701136273
30;10;6;1;15;1;0;False;330.0779502391815;482.42754316329956;426.4488645394643
30;10;6;1;20;1;0;False;333.02372550964355;661.4513852596283;484.27263673146564
30;10;6;1;25;1;0;False;324.0337824821472;450.4623873233795;396.60781955718994
30;10;6;1;30;1;0;False;373.49696111679077;587.8813855648041;452.26749475797016
30;10;6;1;35;1;0;False;300.2207269668579;433.81641030311584;372.60517319043475
30;10;6;1;40;1;0;False;294.7389085292816;690.710307598114;448.1205156644185
30;10;6;1;45;1;0;False;416.11556458473206;548.1312201023102;460.6519289811452
30;10;6;1;50;1;0;False;344.849561214447;536.0778818130493;451.85967389742535
30;10;6;1;55;1;0;False;404.6998918056488;529.6344802379608;467.1324764092763
30;10;6;1;60;1;0;False;364.4275300502777;393.35212230682373;379.27580165863037
