Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;Rep;Step;Cost
40;10;6;1;0;1;0;False;0;0.12342095375061035;266500
40;10;6;1;0;1;0;False;0;0.20536303520202637;236000
40;10;6;1;0;1;0;False;0;0.2869880199432373;234500
40;10;6;1;0;1;0;False;0;0.5294442176818848;217500
40;10;6;1;0;1;0;False;0;1.2884259223937988;215000
40;10;6;1;0;1;0;False;0;25.57908296585083;202000
40;10;6;1;0;1;0;False;0;27.36414408683777;201500
40;10;6;1;0;1;0;False;0;27.48435616493225;200500
40;10;6;1;0;1;0;False;0;27.604652881622314;200000
40;10;6;1;0;1;0;False;0;27.961835384368896;199500
40;10;6;1;0;1;0;False;0;28.678377866744995;199000
40;10;6;1;0;1;0;False;0;39.10621929168701;195000
40;10;6;1;0;1;0;False;0;39.26690053939819;194500
40;10;6;1;0;1;0;False;0;39.3081157207489;193500
40;10;6;1;0;1;0;False;0;39.469677448272705;178500
40;10;6;1;0;1;0;False;0;39.63085126876831;175500
40;10;6;1;0;1;0;False;0;39.792428731918335;174500
40;10;6;1;0;1;0;False;0;39.95345067977905;174000
40;10;6;1;0;1;0;False;0;40.51270771026611;161500
40;10;6;1;0;1;0;False;0;40.67354106903076;160500
40;10;6;1;0;1;0;False;0;41.27352571487427;129500
40;10;6;1;0;1;0;False;0;41.31462574005127;117000
40;10;6;1;0;1;0;False;0;41.713740825653076;115000
40;10;6;1;0;1;0;False;0;41.75492811203003;112500
40;10;6;1;0;1;0;False;0;42.115293979644775;110500
40;10;6;1;0;1;0;False;0;42.75221538543701;108500
40;10;6;1;0;1;0;False;0;46.834410429000854;107000
40;10;6;1;0;1;0;False;0;54.24132943153381;98000
40;10;6;1;0;1;0;False;0;54.363088846206665;97500
40;10;6;1;0;1;0;False;0;55.28540349006653;96000
40;10;6;1;0;1;0;False;0;57.7703640460968;95500
40;10;6;1;0;1;0;False;0;67.74289464950562;91500
40;10;6;1;0;1;0;False;0;70.11071133613586;89000
40;10;6;1;0;1;0;False;0;70.4333074092865;85000
40;10;6;1;0;1;0;False;0;71.99833345413208;84000
40;10;6;1;0;1;0;False;0;74.88272404670715;83000
40;10;6;1;0;1;0;False;0;86.76682162284851;74000
40;10;6;1;0;1;0;False;0;87.05090689659119;72500
40;10;6;1;0;1;0;False;0;89.0279803276062;72000
40;10;6;1;0;1;0;False;0;89.51352453231812;70000
