Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;Min;Max;Avg
40;10;6;1;0;1;0;False;287.81941390037537;351.9909541606903;315.97635475794476
40;10;6;1;5;1;0;False;259.56329679489136;309.72587299346924;281.84109083811444
40;10;6;1;10;1;0;False;363.56635642051697;529.9508774280548;444.3132643699646
40;10;6;1;15;1;0;False;279.64658546447754;462.2236752510071;371.7229268550873
40;10;6;1;20;1;0;False;251.17950344085693;342.51357555389404;288.0365645090739
40;10;6;1;25;1;0;False;308.5823757648468;352.9849112033844;328.06417719523114
40;10;6;1;30;1;0;False;275.4355034828186;547.3087286949158;385.64895542462665
40;10;6;1;35;1;0;False;176.41723704338074;381.59681487083435;276.50204610824585
40;10;6;1;40;1;0;False;232.43267560005188;260.9337213039398;248.9396633307139
40;10;6;1;45;1;0;False;272.0370192527771;288.3318223953247;282.0057481924693
40;10;6;1;50;1;0;False;198.28990173339844;400.23026943206787;293.4066809813182
40;10;6;1;55;1;0;False;298.388968706131;457.4577567577362;363.03620012601215
40;10;6;1;60;1;0;False;319.52550506591797;484.91500902175903;394.6573675473531
30;10;6;1;0;1;0;False;410.8781580924988;597.1094810962677;476.66661500930786
30;10;6;1;5;1;0;False;392.91009855270386;507.80843210220337;443.3879810174306
30;10;6;1;10;1;0;False;301.27050280570984;421.3018774986267;374.7570547262828
30;10;6;1;15;1;0;False;310.6577386856079;466.3479359149933;367.85606543223065
30;10;6;1;20;1;0;False;417.7586705684662;728.2271685600281;597.7924966812134
30;10;6;1;25;1;0;False;366.9734880924225;455.37985134124756;413.8171803156535
30;10;6;1;30;1;0;False;296.48046374320984;429.11446166038513;369.91832105318707
30;10;6;1;35;1;0;False;389.3919451236725;549.7166886329651;462.91574788093567
30;10;6;1;40;1;0;False;364.528107881546;633.2823543548584;477.57044831911725
30;10;6;1;45;1;0;False;401.62170910835266;501.39593482017517;449.3727451165517
30;10;6;1;50;1;0;False;314.34350299835205;402.4750120639801;358.7849497795105
30;10;6;1;55;1;0;False;421.5554895401001;718.7769141197205;539.3291424115499
30;10;6;1;60;1;0;False;316.4926931858063;424.5627977848053;365.3429268995921
