Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;AltChances;Min;Max;Avg
40;10;6;2;0;1;0;False;0;366.3723225593567;579.9130859375;488.67429757118225
40;10;6;2;5;1;0;False;0;337.2908284664154;533.0989301204681;428.80723945299786
40;10;6;2;10;1;0;False;0;403.267995595932;459.96846413612366;441.06095306078595
40;10;6;2;15;1;0;False;0;519.1607010364532;582.8873960971832;540.6025619506836
40;10;6;2;20;1;0;False;0;391.5935785770416;574.8720047473907;511.6975543498993
40;10;6;2;25;1;0;False;0;378.2396984100342;610.8173847198486;481.6042153040568
40;10;6;2;30;1;0;False;0;547.1981134414673;688.8988773822784;620.7318007946014
40;10;6;2;35;1;0;False;0;311.3771450519562;561.7835726737976;425.0070581436157
40;10;6;2;40;1;0;False;0;429.32687306404114;483.97129368782043;454.6948245366414
40;10;6;2;45;1;0;False;0;446.5626394748688;658.0385298728943;560.4078400929769
40;10;6;2;50;1;0;False;0;411.4783899784088;566.48011302948;482.3829707304637
40;10;6;2;55;1;0;False;0;472.3198380470276;700.7237989902496;600.4854318300883
40;10;6;2;60;1;0;False;0;506.76098823547363;575.1245391368866;541.3838072617849
30;10;6;2;0;1;0;False;0;402.42491698265076;491.7242314815521;452.11460932095844
30;10;6;2;5;1;0;False;0;392.0342857837677;530.9214160442352;447.82148321469623
30;10;6;2;10;1;0;False;0;347.66019225120544;502.80679512023926;420.97123583157855
30;10;6;2;15;1;0;False;0;419.9849569797516;557.5824773311615;503.9396029313405
30;10;6;2;20;1;0;False;0;258.0951569080353;415.98368430137634;349.35695719718933
30;10;6;2;25;1;0;False;0;348.4795334339142;456.037202835083;406.0216868718465
30;10;6;2;30;1;0;False;0;489.2031524181366;531.463770866394;515.4177706241608
30;10;6;2;35;1;0;False;0;393.7407546043396;649.0987794399261;555.5572837193807
30;10;6;2;40;1;0;False;0;417.024729013443;591.8930938243866;505.6631390253703
30;10;6;2;45;1;0;False;0;414.9927568435669;691.1866428852081;519.4231625398
30;10;6;2;50;1;0;False;0;343.68490195274353;438.7010769844055;382.64302770296734
30;10;6;2;55;1;0;False;0;345.7206611633301;635.4855597019196;460.56052923202515
30;10;6;2;60;1;0;False;0;463.7903642654419;539.7697966098785;497.00001287460327
