Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;Rep;AltChances;Step;Cost
40;10;6;3;0;1;0;False;0;0;0.08684611320495605;235000
40;10;6;3;0;1;0;False;0;0;0.33370304107666016;172500
40;10;6;3;0;1;0;False;0;0;0.5363869667053223;149500
40;10;6;3;0;1;0;False;0;0;0.8294575214385986;106000
40;10;6;3;0;1;0;False;0;0;3.4478819370269775;81000
40;10;6;3;0;1;0;False;0;0;9.402584075927734;80500
40;10;6;3;0;1;0;False;0;0;9.929751634597778;74500
40;10;6;3;0;1;0;False;0;0;16.429181575775146;73500
40;10;6;3;0;1;0;False;0;0;16.55275797843933;71500
40;10;6;3;0;1;0;False;0;0;17.122392416000366;51500
40;10;6;3;0;1;0;False;0;0;17.73192024230957;49500
40;10;6;3;0;1;0;False;0;0;32.89366960525513;43500
40;10;6;3;0;1;0;False;0;0;73.22963547706604;42000
40;10;6;3;0;1;0;False;0;0;96.28766942024231;31500
40;10;6;3;0;1;0;False;0;0;130.65529823303223;28000
40;10;6;3;0;1;0;False;0;0;192.5865604877472;27500
40;10;6;3;0;1;0;False;0;0;235.05994868278503;27000
40;10;6;3;0;1;0;False;0;0;235.58552479743958;26500
40;10;6;3;0;1;0;False;0;0;238.44654297828674;26000
40;10;6;3;0;1;0;False;0;0;259.52329683303833;25500
40;10;6;3;0;1;0;False;0;0;294.80662751197815;25000
40;10;6;3;0;1;0;False;0;0;294.96828842163086;23000
40;10;6;3;0;1;0;False;0;0;327.02616715431213;22000
40;10;6;3;0;1;0;False;0;0;327.0676097869873;21000
40;10;6;3;0;1;0;False;0;0;344.80827474594116;19500
40;10;6;3;0;1;0;False;0;0;357.1166172027588;19000
40;10;6;3;0;1;0;False;0;0;372.565673828125;18500
40;10;6;3;0;1;0;False;0;0;372.76825737953186;17500
40;10;6;3;0;1;0;False;0;0;385.87355303764343;17000
40;10;6;3;0;1;0;False;0;0;400.5295989513397;9000
40;10;6;3;0;1;0;False;0;0;434.86686658859253;8000
40;10;6;3;0;1;0;False;0;0;436.71987533569336;2500
40;10;6;3;0;1;0;False;0;0;450.33454036712646;2000
40;10;6;3;0;1;0;False;0;0;474.083176612854;1500
40;10;6;3;0;1;0;False;0;0;476.1588785648346;1000
40;10;6;3;0;1;0;False;0;0;500.12302827835083;500
40;10;6;3;0;1;0;False;0;0;554.5672373771667;0
40;10;6;3;0;1;0;False;1;0;0.12347793579101562;304000
40;10;6;3;0;1;0;False;1;0;0.20555806159973145;163000
40;10;6;3;0;1;0;False;1;0;0.28713512420654297;155000
40;10;6;3;0;1;0;False;1;0;0.4495835304260254;149000
40;10;6;3;0;1;0;False;1;0;0.5724799633026123;108000
40;10;6;3;0;1;0;False;1;0;0.6553986072540283;100000
40;10;6;3;0;1;0;False;1;0;0.7382335662841797;84500
40;10;6;3;0;1;0;False;1;0;1.105541706085205;70500
40;10;6;3;0;1;0;False;1;0;1.4724557399749756;65500
40;10;6;3;0;1;0;False;1;0;2.6510937213897705;64000
40;10;6;3;0;1;0;False;1;0;5.02432656288147;63000
40;10;6;3;0;1;0;False;1;0;15.351332426071167;58500
40;10;6;3;0;1;0;False;1;0;67.43915963172913;45500
40;10;6;3;0;1;0;False;1;0;129.97822833061218;45000
40;10;6;3;0;1;0;False;1;0;130.26326203346252;44500
40;10;6;3;0;1;0;False;1;0;153.3248438835144;44000
40;10;6;3;0;1;0;False;1;0;154.60846853256226;43500
