Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;Min;Max;Avg
30;14;4;1;0;3;2;True;246.30267906188965;425.64552903175354;316.19362505276996
30;14;4;1;0;3;4;True;214.40157055854797;318.4897184371948;264.5358214378357
30;14;4;1;0;3;6;True;292.751348733902;317.18087577819824;307.57365679740906
30;14;4;1;0;3;8;True;289.28236198425293;333.98933267593384;313.1570354302724
30;14;4;1;0;3;10;True;217.05446100234985;295.24488520622253;249.52698866526285
30;14;4;1;0;3;12;True;234.86179399490356;429.94783568382263;341.88428807258606
30;14;4;1;0;3;14;True;229.27219033241272;327.59236788749695;281.49387764930725
30;14;4;1;0;3;16;True;237.18832063674927;402.3403046131134;326.65310406684875
30;14;4;1;0;3;18;True;272.46894669532776;306.11491775512695;290.8299976189931
30;14;4;1;0;3;20;True;246.7369623184204;499.4956591129303;375.0368893146515
30;14;4;1;0;3;22;True;322.07862639427185;446.765052318573;368.5900872548421
30;14;4;1;0;3;24;True;239.85756826400757;299.46493911743164;268.1210714181264
30;14;4;1;0;3;26;True;238.87873315811157;300.8619303703308;280.1565917332967
30;14;4;1;0;3;28;True;246.82573223114014;473.18376898765564;375.4644623597463
30;14;4;1;0;3;30;True;244.86731028556824;396.3014078140259;321.8587215741475
30;14;4;1;0;3;32;True;274.4889016151428;475.8293206691742;352.04084094365436
30;14;4;1;0;3;34;True;273.1351754665375;368.4259150028229;320.77084342638653
30;14;4;1;0;3;36;True;223.1181480884552;530.8154630661011;330.77201159795123
30;14;4;1;0;3;38;True;232.41537070274353;335.2731685638428;284.15233127276105
30;14;4;1;0;3;40;True;242.66942191123962;373.91965651512146;324.19990134239197
30;14;4;1;0;3;42;True;284.0237386226654;420.560476064682;349.01839717229205
30;14;4;1;0;3;44;True;199.88858938217163;449.1871283054352;338.71600524584454
30;14;4;1;0;3;46;True;215.31235647201538;421.70939588546753;312.86536717414856
30;14;4;1;0;3;48;True;292.43277406692505;329.87492656707764;307.4889367421468
30;14;4;1;0;3;50;True;274.2610411643982;314.881196975708;289.6764016151428
30;14;4;1;0;3;2;False;215.53413009643555;291.673308134079;255.45909984906515
30;14;4;1;0;3;4;False;277.80704498291016;394.8411293029785;318.3612066904704
30;14;4;1;0;3;6;False;256.5732626914978;388.17107343673706;311.14964572588605
30;14;4;1;0;3;8;False;256.6503977775574;290.7177791595459;278.8995664914449
30;14;4;1;0;3;10;False;252.77477407455444;351.1554968357086;306.4585349559784
30;14;4;1;0;3;12;False;240.22362852096558;293.51823329925537;267.12937633196515
30;14;4;1;0;3;14;False;224.9192771911621;279.9841136932373;255.4398431777954
30;14;4;1;0;3;16;False;201.86550045013428;512.189080953598;319.227255821228
30;14;4;1;0;3;18;False;321.2619996070862;481.3170428276062;384.38206728299457
30;14;4;1;0;3;20;False;226.32372903823853;340.0240378379822;295.58755071957904
30;14;4;1;0;3;22;False;289.4955244064331;478.47130942344666;400.0829538504283
30;14;4;1;0;3;24;False;333.18245005607605;350.50671672821045;343.31797909736633
30;14;4;1;0;3;26;False;197.0351963043213;259.2871506214142;236.75108559926352
30;14;4;1;0;3;28;False;250.533518075943;355.888569355011;304.38623785972595
30;14;4;1;0;3;30;False;311.29463171958923;383.2384238243103;352.42675018310547
30;14;4;1;0;3;32;False;173.30240416526794;274.8749113082886;235.71530652046204
30;14;4;1;0;3;34;False;253.98215460777283;447.41364765167236;330.9526207447052
30;14;4;1;0;3;36;False;227.72510957717896;336.9773941040039;289.1535732746124
30;14;4;1;0;3;38;False;281.7019670009613;300.85483956336975;289.30521988868713
30;14;4;1;0;3;40;False;228.46200799942017;298.1881809234619;273.5661931832631
30;14;4;1;0;3;42;False;268.9299976825714;349.24662804603577;314.0345973968506
30;14;4;1;0;3;44;False;193.1126401424408;318.7827305793762;259.4890736738841
30;14;4;1;0;3;46;False;291.5714957714081;297.94188952445984;293.818895816803
30;14;4;1;0;3;48;False;279.04629468917847;416.6530637741089;338.44982647895813
30;14;4;1;0;3;50;False;248.2395806312561;349.2419402599335;286.07791622479755
