Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;Rep;Step;Cost
30;14;4;1;0;4;2;True;0;0.11078548431396484;412500
30;14;4;1;0;4;2;True;0;0.18407726287841797;405500
30;14;4;1;0;4;2;True;0;0.47257208824157715;398500
30;14;4;1;0;4;2;True;0;0.5453531742095947;389500
30;14;4;1;0;4;2;True;0;0.7254211902618408;387500
30;14;4;1;0;4;2;True;0;0.7627151012420654;368000
30;14;4;1;0;4;2;True;0;1.8728704452514648;367500
30;14;4;1;0;4;2;True;0;2.3009743690490723;365500
30;14;4;1;0;4;2;True;0;3.2324302196502686;362000
30;14;4;1;0;4;2;True;0;15.059733152389526;359500
30;14;4;1;0;4;2;True;0;26.387764930725098;344000
30;14;4;1;0;4;2;True;0;26.777116775512695;342500
30;14;4;1;0;4;2;True;0;27.235559940338135;338500
30;14;4;1;0;4;2;True;0;27.377809286117554;320500
30;14;4;1;0;4;2;True;0;27.485322952270508;307000
30;14;4;1;0;4;2;True;0;27.663313388824463;305500
30;14;4;1;0;4;2;True;0;36.50216579437256;274000
30;14;4;1;0;4;2;True;0;36.611499071121216;167500
30;14;4;1;0;4;2;True;0;36.64846086502075;157000
30;14;4;1;0;4;2;True;0;36.68534517288208;140500
30;14;4;1;0;4;2;True;0;37.14645028114319;140000
30;14;4;1;0;4;2;True;0;37.18299174308777;139500
30;14;4;1;0;4;2;True;0;37.43392515182495;139000
30;14;4;1;0;4;2;True;0;37.82784128189087;133500
30;14;4;1;0;4;2;True;0;38.96750807762146;130000
30;14;4;1;0;4;2;True;0;49.213067293167114;128000
30;14;4;1;0;4;2;True;0;51.0432493686676;122500
30;14;4;1;0;4;2;True;0;51.08022475242615;112000
30;14;4;1;0;4;2;True;0;51.61907887458801;111500
30;14;4;1;0;4;2;True;0;52.04917907714844;106000
30;14;4;1;0;4;2;True;0;63.94268345832825;105000
30;14;4;1;0;4;2;True;0;66.13477396965027;104000
30;14;4;1;0;4;2;True;0;73.53376698493958;90000
30;14;4;1;0;4;2;True;0;79.88493704795837;86000
30;14;4;1;0;4;2;True;0;91.74520778656006;81500
30;14;4;1;0;4;2;True;0;101.0533709526062;81000
30;14;4;1;0;4;2;True;0;101.23606157302856;80500
30;14;4;1;0;4;2;True;0;102.91946053504944;80000
30;14;4;1;0;4;2;True;0;104.14103364944458;75000
30;14;4;1;0;4;2;True;0;114.3971779346466;74500
30;14;4;1;0;4;2;True;0;114.64947390556335;74000
30;14;4;1;0;4;2;True;0;127.31022000312805;73000
30;14;4;1;0;4;2;True;0;137.52792358398438;72500
30;14;4;1;0;4;2;True;0;138.57239079475403;65000
30;14;4;1;0;4;2;True;0;138.60958886146545;64000
30;14;4;1;0;4;2;True;0;139.36589312553406;63500
30;14;4;1;0;4;2;True;0;139.7969708442688;62000
