Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;Rep;AltChances;Step;Cost
40;10;6;2;0;1;0;False;0;0;0.08373689651489258;295500
40;10;6;2;0;1;0;False;0;0;0.2067410945892334;289500
40;10;6;2;0;1;0;False;0;0;0.24797654151916504;223000
40;10;6;2;0;1;0;False;0;0;4.7430946826934814;212500
40;10;6;2;0;1;0;False;0;0;7.814325571060181;204000
40;10;6;2;0;1;0;False;0;0;8.177618741989136;197500
40;10;6;2;0;1;0;False;0;0;23.012775659561157;185500
40;10;6;2;0;1;0;False;0;0;62.31234288215637;161500
40;10;6;2;0;1;0;False;0;0;63.64263725280762;161000
40;10;6;2;0;1;0;False;0;0;72.84663009643555;157000
40;10;6;2;0;1;0;False;0;0;73.32762169837952;138500
40;10;6;2;0;1;0;False;0;0;80.5570912361145;124000
40;10;6;2;0;1;0;False;0;0;95.28976464271545;115500
40;10;6;2;0;1;0;False;0;0;95.92714428901672;114000
40;10;6;2;0;1;0;False;0;0;110.39385437965393;72500
40;10;6;2;0;1;0;False;0;0;122.45550441741943;72000
40;10;6;2;0;1;0;False;0;0;135.90268421173096;71000
40;10;6;2;0;1;0;False;0;0;136.5071506500244;70000
40;10;6;2;0;1;0;False;0;0;136.70917773246765;68500
40;10;6;2;0;1;0;False;0;0;136.75064206123352;68000
40;10;6;2;0;1;0;False;0;0;149.97784566879272;67000
40;10;6;2;0;1;0;False;0;0;150.70938777923584;66500
40;10;6;2;0;1;0;False;0;0;152.52975702285767;53000
40;10;6;2;0;1;0;False;0;0;164.9698576927185;52500
40;10;6;2;0;1;0;False;0;0;167.01008558273315;46500
40;10;6;2;0;1;0;False;0;0;179.195862531662;46000
40;10;6;2;0;1;0;False;0;0;179.6732461452484;45500
40;10;6;2;0;1;0;False;0;0;194.44646954536438;45000
40;10;6;2;0;1;0;False;0;0;195.16641426086426;44500
40;10;6;2;0;1;0;False;0;0;208.12192177772522;44000
40;10;6;2;0;1;0;False;0;0;209.68364834785461;43500
40;10;6;2;0;1;0;False;0;0;211.96220803260803;32500
40;10;6;2;0;1;0;False;0;0;223.13177347183228;31000
40;10;6;2;0;1;0;False;0;0;238.3333351612091;29000
40;10;6;2;0;1;0;False;0;0;238.5751714706421;28000
40;10;6;2;0;1;0;False;0;0;240.25128650665283;27500
40;10;6;2;0;1;0;False;0;0;251.91477465629578;26500
40;10;6;2;0;1;0;False;0;0;252.1937563419342;26000
40;10;6;2;0;1;0;False;0;0;252.9131190776825;20500
40;10;6;2;0;1;0;False;0;0;267.183057308197;15500
40;10;6;2;0;1;0;False;0;0;280.4794852733612;15000
40;10;6;2;0;1;0;False;0;0;282.2379138469696;14500
40;10;6;2;0;1;0;False;0;0;305.5618185997009;11500
40;10;6;2;0;1;0;False;0;0;306.1192047595978;8000
40;10;6;2;0;1;0;False;0;0;322.9016489982605;7500
40;10;6;2;0;1;0;False;0;0;334.8807587623596;4000
40;10;6;2;0;1;0;False;0;0;512.8216781616211;2000
40;10;6;2;0;1;0;False;0;0;524.9503843784332;0
40;10;6;2;0;1;0;False;1;0;0.08258938789367676;194500
40;10;6;2;0;1;0;False;1;0;0.8753907680511475;158500
40;10;6;2;0;1;0;False;1;0;1.3903930187225342;146000
40;10;6;2;0;1;0;False;1;0;1.7862608432769775;144500
40;10;6;2;0;1;0;False;1;0;1.8275420665740967;135000
40;10;6;2;0;1;0;False;1;0;3.847233772277832;131000
40;10;6;2;0;1;0;False;1;0;8.837180614471436;130500
40;10;6;2;0;1;0;False;1;0;17.440643548965454;126500
40;10;6;2;0;1;0;False;1;0;29.289828300476074;126000
40;10;6;2;0;1;0;False;1;0;46.36301112174988;121000
40;10;6;2;0;1;0;False;1;0;46.485198974609375;116500
40;10;6;2;0;1;0;False;1;0;46.92708683013916;115500
40;10;6;2;0;1;0;False;1;0;47.443469524383545;93000
40;10;6;2;0;1;0;False;1;0;47.6830792427063;88500
40;10;6;2;0;1;0;False;1;0;47.76465320587158;85500
40;10;6;2;0;1;0;False;1;0;57.74838137626648;80000
40;10;6;2;0;1;0;False;1;0;58.466591596603394;78000
40;10;6;2;0;1;0;False;1;0;59.58525466918945;75500
40;10;6;2;0;1;0;False;1;0;75.68505954742432;75000
40;10;6;2;0;1;0;False;1;0;76.08227944374084;59500
40;10;6;2;0;1;0;False;1;0;79.22770285606384;54000
40;10;6;2;0;1;0;False;1;0;91.36946558952332;53500
40;10;6;2;0;1;0;False;1;0;91.72980833053589;53000
40;10;6;2;0;1;0;False;1;0;93.25221633911133;52500
40;10;6;2;0;1;0;False;1;0;106.76630282402039;52000
40;10;6;2;0;1;0;False;1;0;106.88797569274902;51500
40;10;6;2;0;1;0;False;1;0;129.68831157684326;51000
40;10;6;2;0;1;0;False;1;0;145.19801092147827;50500
40;10;6;2;0;1;0;False;1;0;158.7264392375946;50000
40;10;6;2;0;1;0;False;1;0;182.67871236801147;46500
40;10;6;2;0;1;0;False;1;0;183.63052701950073;46000
40;10;6;2;0;1;0;False;1;0;198.09395384788513;45500
40;10;6;2;0;1;0;False;1;0;212.7671148777008;38000
40;10;6;2;0;1;0;False;1;0;213.37032341957092;36000
40;10;6;2;0;1;0;False;1;0;227.23034143447876;35500
40;10;6;2;0;1;0;False;1;0;230.0651707649231;34500
40;10;6;2;0;1;0;False;1;0;251.1744782924652;33500
40;10;6;2;0;1;0;False;1;0;253.67357063293457;30500
40;10;6;2;0;1;0;False;1;0;265.3111493587494;30000
40;10;6;2;0;1;0;False;1;0;279.6760444641113;29000
40;10;6;2;0;1;0;False;1;0;280.1127815246582;28500
40;10;6;2;0;1;0;False;1;0;294.8993787765503;28000
40;10;6;2;0;1;0;False;1;0;309.36866784095764;27500
40;10;6;2;0;1;0;False;1;0;309.4097652435303;26500
40;10;6;2;0;1;0;False;1;0;311.59708189964294;25500
40;10;6;2;0;1;0;False;1;0;323.1600122451782;25000
40;10;6;2;0;1;0;False;1;0;336.9247341156006;22500
40;10;6;2;0;1;0;False;1;0;337.28335642814636;22000
40;10;6;2;0;1;0;False;1;0;361.3349771499634;21000
40;10;6;2;0;1;0;False;1;0;361.7326338291168;18000
40;10;6;2;0;1;0;False;1;0;363.07732486724854;17000
40;10;6;2;0;1;0;False;1;0;384.64371252059937;14000
40;10;6;2;0;1;0;False;1;0;400.27782583236694;13500
40;10;6;2;0;1;0;False;1;0;423.314813375473;11500
40;10;6;2;0;1;0;False;1;0;423.3556900024414;10500
40;10;6;2;0;1;0;False;1;0;437.3438847064972;10000
40;10;6;2;0;1;0;False;1;0;437.3847875595093;9500
40;10;6;2;0;1;0;False;1;0;451.4565725326538;9000
40;10;6;2;0;1;0;False;1;0;451.69547271728516;6500
40;10;6;2;0;1;0;False;1;0;475.6570303440094;4000
40;10;6;2;0;1;0;False;1;0;476.0156443119049;3500
40;10;6;2;0;1;0;False;1;0;476.25482749938965;1500
40;10;6;2;0;1;0;False;1;0;491.2003970146179;1000
40;10;6;2;0;1;0;False;1;0;505.59063506126404;0
40;10;6;2;0;1;0;False;2;0;0.12133526802062988;298000
40;10;6;2;0;1;0;False;2;0;0.16233086585998535;293000
40;10;6;2;0;1;0;False;2;0;0.2831614017486572;282000
40;10;6;2;0;1;0;False;2;0;0.3240342140197754;241000
40;10;6;2;0;1;0;False;2;0;0.36510491371154785;222500
40;10;6;2;0;1;0;False;2;0;0.44552111625671387;219500
40;10;6;2;0;1;0;False;2;0;0.4869396686553955;215000
40;10;6;2;0;1;0;False;2;0;0.8448152542114258;205000
40;10;6;2;0;1;0;False;2;0;0.8860242366790771;203500
40;10;6;2;0;1;0;False;2;0;1.2064642906188965;201000
40;10;6;2;0;1;0;False;2;0;1.2481353282928467;199000
40;10;6;2;0;1;0;False;2;0;2.324929714202881;195000
40;10;6;2;0;1;0;False;2;0;2.6827640533447266;190500
40;10;6;2;0;1;0;False;2;0;15.378887176513672;173000
40;10;6;2;0;1;0;False;2;0;16.923824310302734;160000
40;10;6;2;0;1;0;False;2;0;17.361957788467407;156000
40;10;6;2;0;1;0;False;2;0;18.712198734283447;154500
40;10;6;2;0;1;0;False;2;0;28.98987603187561;147000
40;10;6;2;0;1;0;False;2;0;29.512235164642334;135500
40;10;6;2;0;1;0;False;2;0;33.69673681259155;132500
40;10;6;2;0;1;0;False;2;0;44.2729856967926;132000
40;10;6;2;0;1;0;False;2;0;44.43414783477783;123000
40;10;6;2;0;1;0;False;2;0;44.514827728271484;99000
40;10;6;2;0;1;0;False;2;0;45.71070432662964;98500
40;10;6;2;0;1;0;False;2;0;46.31140446662903;95500
40;10;6;2;0;1;0;False;2;0;46.789630651474;74500
40;10;6;2;0;1;0;False;2;0;46.83076763153076;68500
40;10;6;2;0;1;0;False;2;0;46.87205958366394;67000
40;10;6;2;0;1;0;False;2;0;47.35081338882446;62000
40;10;6;2;0;1;0;False;2;0;47.79102802276611;59500
40;10;6;2;0;1;0;False;2;0;47.83212494850159;58000
40;10;6;2;0;1;0;False;2;0;50.997273445129395;51500
40;10;6;2;0;1;0;False;2;0;58.38268518447876;51000
40;10;6;2;0;1;0;False;2;0;61.5920205116272;50000
40;10;6;2;0;1;0;False;2;0;62.19230651855469;47500
40;10;6;2;0;1;0;False;2;0;76.02000617980957;46500
40;10;6;2;0;1;0;False;2;0;80.66286134719849;44000
40;10;6;2;0;1;0;False;2;0;93.6150050163269;43000
40;10;6;2;0;1;0;False;2;0;107.84793877601624;42500
40;10;6;2;0;1;0;False;2;0;108.72993230819702;35500
40;10;6;2;0;1;0;False;2;0;143.18614053726196;35000
40;10;6;2;0;1;0;False;2;0;155.82883858680725;34500
40;10;6;2;0;1;0;False;2;0;156.59238171577454;28000
40;10;6;2;0;1;0;False;2;0;169.9402186870575;27500
40;10;6;2;0;1;0;False;2;0;193.91816306114197;27000
40;10;6;2;0;1;0;False;2;0;196.71602511405945;20500
40;10;6;2;0;1;0;False;2;0;209.03269863128662;20000
40;10;6;2;0;1;0;False;2;0;210.34090447425842;16000
40;10;6;2;0;1;0;False;2;0;225.79978775978088;14500
40;10;6;2;0;1;0;False;2;0;246.10347414016724;14000
40;10;6;2;0;1;0;False;2;0;260.1363320350647;13500
40;10;6;2;0;1;0;False;2;0;260.81801557540894;13000
40;10;6;2;0;1;0;False;2;0;274.8907890319824;12500
40;10;6;2;0;1;0;False;2;0;276.251496553421;11500
40;10;6;2;0;1;0;False;2;0;298.52407479286194;11000
40;10;6;2;0;1;0;False;2;0;298.9245254993439;9500
40;10;6;2;0;1;0;False;2;0;299.00537300109863;8500
40;10;6;2;0;1;0;False;2;0;301.6446142196655;6000
40;10;6;2;0;1;0;False;2;0;323.11206579208374;5500
40;10;6;2;0;1;0;False;2;0;337.4772207736969;5000
40;10;6;2;0;1;0;False;2;0;361.5272009372711;1000
40;10;6;2;0;1;0;False;2;0;376.16290760040283;500
40;10;6;2;0;1;0;False;2;0;429.4182403087616;0
40;10;6;2;0;1;0;False;0;5;0.24177932739257812;301500
40;10;6;2;0;1;0;False;0;5;0.5622637271881104;198000
40;10;6;2;0;1;0;False;0;5;2.0691938400268555;183500
40;10;6;2;0;1;0;False;0;5;2.3092904090881348;175500
40;10;6;2;0;1;0;False;0;5;2.629509210586548;169500
40;10;6;2;0;1;0;False;0;5;2.9933266639709473;136000
40;10;6;2;0;1;0;False;0;5;4.599386215209961;129000
40;10;6;2;0;1;0;False;0;5;4.681086778640747;128000
40;10;6;2;0;1;0;False;0;5;8.349834442138672;122000
40;10;6;2;0;1;0;False;0;5;14.579173803329468;114500
40;10;6;2;0;1;0;False;0;5;36.37243461608887;114000
40;10;6;2;0;1;0;False;0;5;37.80184888839722;113000
40;10;6;2;0;1;0;False;0;5;68.43014669418335;112500
40;10;6;2;0;1;0;False;0;5;85.51919150352478;107000
40;10;6;2;0;1;0;False;0;5;92.80054664611816;97000
40;10;6;2;0;1;0;False;0;5;93.63699078559875;86000
40;10;6;2;0;1;0;False;0;5;98.2844307422638;85500
40;10;6;2;0;1;0;False;0;5;106.55649018287659;85000
40;10;6;2;0;1;0;False;0;5;109.55335688591003;84500
40;10;6;2;0;1;0;False;0;5;112.86973285675049;84000
40;10;6;2;0;1;0;False;0;5;114.97964334487915;83500
40;10;6;2;0;1;0;False;0;5;126.43775844573975;83000
40;10;6;2;0;1;0;False;0;5;127.78893208503723;82000
40;10;6;2;0;1;0;False;0;5;142.61765265464783;81500
40;10;6;2;0;1;0;False;0;5;143.2538332939148;81000
40;10;6;2;0;1;0;False;0;5;143.77187275886536;79000
40;10;6;2;0;1;0;False;0;5;154.26434183120728;78500
40;10;6;2;0;1;0;False;0;5;154.54249811172485;77000
40;10;6;2;0;1;0;False;0;5;168.6977231502533;76500
40;10;6;2;0;1;0;False;0;5;172.10131406784058;73500
40;10;6;2;0;1;0;False;0;5;184.53017234802246;72500
40;10;6;2;0;1;0;False;0;5;200.79000520706177;63000
40;10;6;2;0;1;0;False;0;5;201.7047860622406;62000
40;10;6;2;0;1;0;False;0;5;201.86445879936218;54500
40;10;6;2;0;1;0;False;0;5;213.37431287765503;54000
40;10;6;2;0;1;0;False;0;5;229.89639902114868;41000
40;10;6;2;0;1;0;False;0;5;241.8736035823822;40500
40;10;6;2;0;1;0;False;0;5;242.35131525993347;40000
40;10;6;2;0;1;0;False;0;5;242.9868688583374;39500
40;10;6;2;0;1;0;False;0;5;243.93785977363586;28000
40;10;6;2;0;1;0;False;0;5;244.0576958656311;25500
40;10;6;2;0;1;0;False;0;5;245.41008520126343;17000
40;10;6;2;0;1;0;False;0;5;256.83463072776794;16500
40;10;6;2;0;1;0;False;0;5;257.3932571411133;16000
40;10;6;2;0;1;0;False;0;5;281.26884055137634;15500
40;10;6;2;0;1;0;False;0;5;295.71788144111633;15000
40;10;6;2;0;1;0;False;0;5;308.7150650024414;8500
40;10;6;2;0;1;0;False;0;5;310.23507285118103;7000
40;10;6;2;0;1;0;False;0;5;334.2203676700592;5000
40;10;6;2;0;1;0;False;0;5;351.12511253356934;4500
40;10;6;2;0;1;0;False;0;5;410.1899664402008;3000
40;10;6;2;0;1;0;False;0;5;433.94341588020325;1000
40;10;6;2;0;1;0;False;0;5;434.0246903896332;0
40;10;6;2;0;1;0;False;1;5;0.0821075439453125;255000
40;10;6;2;0;1;0;False;1;5;0.24288129806518555;250500
40;10;6;2;0;1;0;False;1;5;0.36354684829711914;163000
40;10;6;2;0;1;0;False;1;5;0.40499162673950195;161000
40;10;6;2;0;1;0;False;1;5;3.244490146636963;154000
40;10;6;2;0;1;0;False;1;5;14.585606575012207;149000
40;10;6;2;0;1;0;False;1;5;17.926300764083862;142000
40;10;6;2;0;1;0;False;1;5;29.60445237159729;119000
40;10;6;2;0;1;0;False;1;5;45.618680000305176;118500
40;10;6;2;0;1;0;False;1;5;45.698039293289185;109500
40;10;6;2;0;1;0;False;1;5;47.33753275871277;79000
40;10;6;2;0;1;0;False;1;5;59.2510552406311;78500
40;10;6;2;0;1;0;False;1;5;62.081443786621094;77500
40;10;6;2;0;1;0;False;1;5;65.54002046585083;70500
40;10;6;2;0;1;0;False;1;5;72.25457119941711;52500
40;10;6;2;0;1;0;False;1;5;72.37430787086487;49000
40;10;6;2;0;1;0;False;1;5;73.56195998191833;32000
40;10;6;2;0;1;0;False;1;5;77.95617055892944;31500
40;10;6;2;0;1;0;False;1;5;89.98894214630127;29000
40;10;6;2;0;1;0;False;1;5;94.38578391075134;28500
40;10;6;2;0;1;0;False;1;5;106.76527738571167;28000
40;10;6;2;0;1;0;False;1;5;109.23514676094055;27500
40;10;6;2;0;1;0;False;1;5;120.57943320274353;27000
40;10;6;2;0;1;0;False;1;5;120.85821866989136;26500
40;10;6;2;0;1;0;False;1;5;122.94796395301819;25500
40;10;6;2;0;1;0;False;1;5;124.21064758300781;20000
40;10;6;2;0;1;0;False;1;5;135.75643587112427;19500
40;10;6;2;0;1;0;False;1;5;149.66849446296692;19000
40;10;6;2;0;1;0;False;1;5;165.5244495868683;15500
40;10;6;2;0;1;0;False;1;5;178.3492705821991;15000
40;10;6;2;0;1;0;False;1;5;193.67663145065308;14500
40;10;6;2;0;1;0;False;1;5;195.76067972183228;14000
40;10;6;2;0;1;0;False;1;5;207.59290981292725;13000
40;10;6;2;0;1;0;False;1;5;221.8184096813202;12500
40;10;6;2;0;1;0;False;1;5;235.07597255706787;12000
40;10;6;2;0;1;0;False;1;5;250.16645050048828;10000
40;10;6;2;0;1;0;False;1;5;250.483389377594;9000
40;10;6;2;0;1;0;False;1;5;283.4424321651459;8500
40;10;6;2;0;1;0;False;1;5;283.920955657959;8000
40;10;6;2;0;1;0;False;1;5;297.88843154907227;6500
40;10;6;2;0;1;0;False;1;5;322.2343256473541;5500
40;10;6;2;0;1;0;False;1;5;336.8519639968872;3500
40;10;6;2;0;1;0;False;1;5;351.26202416419983;3000
40;10;6;2;0;1;0;False;1;5;365.70094537734985;2500
40;10;6;2;0;1;0;False;1;5;380.12461256980896;1500
40;10;6;2;0;1;0;False;1;5;413.5468227863312;500
40;10;6;2;0;1;0;False;1;5;437.2256429195404;0
40;10;6;2;0;1;0;False;2;5;0.08217310905456543;292500
40;10;6;2;0;1;0;False;2;5;0.12346863746643066;252500
40;10;6;2;0;1;0;False;2;5;0.28234434127807617;196000
40;10;6;2;0;1;0;False;2;5;0.7172887325286865;183000
40;10;6;2;0;1;0;False;2;5;0.7979080677032471;179500
40;10;6;2;0;1;0;False;2;5;1.3912243843078613;170000
40;10;6;2;0;1;0;False;2;5;1.7064194679260254;164500
40;10;6;2;0;1;0;False;2;5;2.3763315677642822;158500
40;10;6;2;0;1;0;False;2;5;2.417099952697754;156000
40;10;6;2;0;1;0;False;2;5;15.838944673538208;149500
40;10;6;2;0;1;0;False;2;5;16.037314414978027;148500
40;10;6;2;0;1;0;False;2;5;16.748483657836914;146000
40;10;6;2;0;1;0;False;2;5;19.114428520202637;136500
40;10;6;2;0;1;0;False;2;5;38.24085307121277;130000
40;10;6;2;0;1;0;False;2;5;38.75209403038025;113500
40;10;6;2;0;1;0;False;2;5;39.0287811756134;113000
40;10;6;2;0;1;0;False;2;5;39.22704553604126;109500
40;10;6;2;0;1;0;False;2;5;40.88112497329712;104000
40;10;6;2;0;1;0;False;2;5;41.079346895217896;101000
40;10;6;2;0;1;0;False;2;5;41.395984172821045;100500
40;10;6;2;0;1;0;False;2;5;41.86887812614441;100000
40;10;6;2;0;1;0;False;2;5;42.02810049057007;99500
40;10;6;2;0;1;0;False;2;5;42.81540775299072;95000
40;10;6;2;0;1;0;False;2;5;45.97333788871765;92500
40;10;6;2;0;1;0;False;2;5;52.680437326431274;71000
40;10;6;2;0;1;0;False;2;5;53.03397345542908;69500
40;10;6;2;0;1;0;False;2;5;53.30928182601929;69000
40;10;6;2;0;1;0;False;2;5;53.428279638290405;57000
40;10;6;2;0;1;0;False;2;5;53.46877908706665;34000
40;10;6;2;0;1;0;False;2;5;53.7044563293457;33000
40;10;6;2;0;1;0;False;2;5;54.33373951911926;5500
40;10;6;2;0;1;0;False;2;5;82.62815856933594;5000
40;10;6;2;0;1;0;False;2;5;106.84280896186829;4500
40;10;6;2;0;1;0;False;2;5;129.99670791625977;4000
40;10;6;2;0;1;0;False;2;5;154.29792523384094;3500
40;10;6;2;0;1;0;False;2;5;170.9987964630127;3000
40;10;6;2;0;1;0;False;2;5;190.9013056755066;2500
40;10;6;2;0;1;0;False;2;5;252.7157678604126;2000
40;10;6;2;0;1;0;False;2;5;276.9803342819214;1500
40;10;6;2;0;1;0;False;2;5;291.90787720680237;1000
40;10;6;2;0;1;0;False;2;5;324.0573444366455;500
40;10;6;2;0;1;0;False;2;5;358.21546840667725;0
40;10;6;2;0;1;0;False;0;10;0.2806568145751953;178000
40;10;6;2;0;1;0;False;0;10;1.0803911685943604;172500
40;10;6;2;0;1;0;False;0;10;1.3236143589019775;157500
40;10;6;2;0;1;0;False;0;10;1.8443243503570557;151500
40;10;6;2;0;1;0;False;0;10;2.5638699531555176;149000
40;10;6;2;0;1;0;False;0;10;3.7201993465423584;132000
40;10;6;2;0;1;0;False;0;10;4.039214372634888;126500
40;10;6;2;0;1;0;False;0;10;7.38358211517334;123500
40;10;6;2;0;1;0;False;0;10;18.69996404647827;116500
40;10;6;2;0;1;0;False;0;10;36.66689586639404;115000
40;10;6;2;0;1;0;False;0;10;50.94608807563782;114500
40;10;6;2;0;1;0;False;0;10;76.07604098320007;109500
40;10;6;2;0;1;0;False;0;10;77.1908814907074;90500
40;10;6;2;0;1;0;False;0;10;90.13756465911865;87500
40;10;6;2;0;1;0;False;0;10;105.16966843605042;72500
40;10;6;2;0;1;0;False;0;10;106.00881171226501;67500
40;10;6;2;0;1;0;False;0;10;138.01035284996033;66000
40;10;6;2;0;1;0;False;0;10;151.6504065990448;65500
40;10;6;2;0;1;0;False;0;10;166.8006715774536;45500
40;10;6;2;0;1;0;False;0;10;178.9402413368225;45000
40;10;6;2;0;1;0;False;0;10;196.17459297180176;31500
40;10;6;2;0;1;0;False;0;10;196.93429493904114;31000
40;10;6;2;0;1;0;False;0;10;207.8558521270752;29500
40;10;6;2;0;1;0;False;0;10;209.01728010177612;29000
40;10;6;2;0;1;0;False;0;10;211.89305877685547;26000
40;10;6;2;0;1;0;False;0;10;234.17527031898499;23500
40;10;6;2;0;1;0;False;0;10;236.05291104316711;22500
40;10;6;2;0;1;0;False;0;10;259.39924001693726;19500
40;10;6;2;0;1;0;False;0;10;271.9795939922333;19000
40;10;6;2;0;1;0;False;0;10;273.96684885025024;13500
40;10;6;2;0;1;0;False;0;10;285.9343867301941;12500
40;10;6;2;0;1;0;False;0;10;308.79512214660645;12000
40;10;6;2;0;1;0;False;0;10;309.3131511211395;11500
40;10;6;2;0;1;0;False;0;10;310.15461826324463;11000
40;10;6;2;0;1;0;False;0;10;312.6560974121094;6000
40;10;6;2;0;1;0;False;0;10;343.7572240829468;5500
40;10;6;2;0;1;0;False;0;10;358.25522112846375;5000
40;10;6;2;0;1;0;False;0;10;372.7522404193878;4000
40;10;6;2;0;1;0;False;0;10;387.2203838825226;3500
40;10;6;2;0;1;0;False;0;10;387.30137968063354;1500
40;10;6;2;0;1;0;False;0;10;412.52447533607483;0
40;10;6;2;0;1;0;False;1;10;0.08314657211303711;307500
40;10;6;2;0;1;0;False;1;10;0.12480902671813965;283000
40;10;6;2;0;1;0;False;1;10;0.4882619380950928;281000
