Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;AltChances;Min;Max;Avg
40;10;6;2;0;1;0;False;0;429.4306707382202;524.9632248878479;486.66568358739215
40;10;6;2;0;1;0;False;5;358.2278690338135;437.23812651634216;409.8343312740326
40;10;6;2;0;1;0;False;10;338.38057255744934;434.6286838054657;395.18203441301984
40;10;6;2;0;1;0;False;15;246.8485860824585;504.9012746810913;355.35085066159564
40;10;6;2;0;1;0;False;20;342.7548027038574;589.8367762565613;434.7580755551656
40;10;6;2;0;1;0;False;25;264.87357997894287;382.4342200756073;337.90873948733014
40;10;6;2;0;1;0;False;30;412.8029360771179;489.68635416030884;445.0316424369812
40;10;6;2;0;1;0;False;35;261.3045747280121;375.9230933189392;336.6081126530965
40;10;6;2;0;1;0;False;40;227.25206899642944;448.2847435474396;320.37367486953735
40;10;6;2;0;1;0;False;45;400.9062466621399;654.8481295108795;512.7363737424215
40;10;6;2;0;1;0;False;50;380.8388955593109;670.8963491916656;481.28412946065265
30;10;6;2;0;1;0;False;0;382.94475746154785;428.7931344509125;404.4953072865804
30;10;6;2;0;1;0;False;5;477.783931016922;659.9048917293549;573.4598306814829
30;10;6;2;0;1;0;False;10;549.4980037212372;628.163152217865;587.508774360021
30;10;6;2;0;1;0;False;15;498.9398744106293;573.3950984477997;540.4431504408518
30;10;6;2;0;1;0;False;20;393.34026765823364;631.5274133682251;497.55283792813617
30;10;6;2;0;1;0;False;25;479.62859082221985;808.0667033195496;680.1569071610769
30;10;6;2;0;1;0;False;30;553.9054200649261;636.2786209583282;586.5790661176046
30;10;6;2;0;1;0;False;35;407.39446210861206;2315.8363239765167;1115.2496163845062
30;10;6;2;0;1;0;False;40;582.539440870285;810.7479345798492;674.1808088620504
30;10;6;2;0;1;0;False;45;560.4331860542297;765.1574695110321;666.3520735104879
30;10;6;2;0;1;0;False;50;656.5660355091095;689.2773749828339;673.8140513896942
