Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;Min;Max;Avg
40;10;6;2;0;2;10;False;393.2388653755188;586.3277447223663;467.106915473938
40;10;6;3;0;2;10;False;554.0460634231567;562.9601073265076;558.2751264572144
40;12;6;2;0;2;10;False;894.3412547111511;1022.025904417038;942.2816780408224
40;12;6;3;0;2;10;False;768.9137554168701;1201.0655517578125;982.783895889918
40;14;6;2;0;2;10;False;1541.162607908249;1953.021645784378;1716.3876173496246
40;14;6;3;0;2;10;False;1721.407331943512;2066.9823830127716;1886.5332766373951
40;16;6;2;0;2;10;False;2013.5992155075073;2710.487903356552;2408.773874759674
40;16;6;3;0;2;10;False;2416.7740490436554;2636.0850081443787;2543.30042997996
40;18;6;2;0;2;10;False;3067.4489872455597;4200.877416849136;3650.381138642629
40;18;6;3;0;2;10;False;3439.0452189445496;4553.8198482990265;4087.7506716251373
40;20;6;2;0;2;10;False;5505.336767911911;5702.416840314865;5628.094315608342
30;10;6;2;0;2;10;False;366.68371057510376;585.4632513523102;482.3825792471568
30;12;6;2;0;2;10;False;820.0206243991852;990.5618226528168;927.1962710221609
40;20;6;3;0;2;10;False;5936.29524230957;7312.997818231583;6835.970607598622
30;10;6;3;0;2;10;False;512.8390181064606;619.0521211624146;569.5556724071503
30;14;6;2;0;2;10;False;1137.1545357704163;1550.9420449733734;1382.1638074715931
30;12;6;3;0;2;10;False;1083.5666868686676;1191.5294721126556;1134.408974011739
30;16;6;2;0;2;10;False;2123.952779531479;2433.011446237564;2324.7032708326974
30;14;6;3;0;2;10;False;1371.8012917041779;2336.64715385437;1958.0934489568074
30;18;6;2;0;2;10;False;2825.8732137680054;3926.376158952713;3244.8236667315164
30;16;6;3;0;2;10;False;2920.159833908081;3224.237870693207;3121.275352319082
30;20;6;2;0;2;10;False;4289.6046233177185;4892.870826721191;4619.942178885142
30;18;6;3;0;2;10;False;3726.8677232265472;5484.773157835007;4658.452818870544
30;20;6;3;0;2;10;False;6272.819556474686;7096.163995981216;6816.257904450099
