(0,480.3202133178711)
(5,573.5964004993439)
(10,475.7266616821289)
(15,649.5753588676453)
(20,559.3090074062347)
(25,425.63756561279297)
(30,426.75923919677734)
(35,481.2532494068146)
(40,692.6923961639404)

(0,480.3202133178711)
(5,573.5964004993439)
(10,475.7266616821289)
(15,649.5753588676453)
(20,559.3090074062347)
(25,425.63756561279297)
(30,426.75923919677734)
(35,481.2532494068146)
(40,692.6923961639404)

(0,432.860643863678)
(5,399.32698035240173)
(10,466.40629029273987)
(15,310.0156989097595)
(20,524.127111196518)
(25,450.1445550918579)
(30,362.3989431858063)
(35,589.1617798805237)
(40,359.2355363368988)
(45,597.7236080169678)
(50,335.3108673095703)
(55,316.5728552341461)
(60,430.84135031700134)



(0,242.59001278877258)
(5,363.4585621356964)
(10,444.9397234916687)
(15,387.91481924057007)
(20,415.97762274742126)
(25,476.80678248405457)
(30,479.0983533859253)
(35,394.270592212677)
(40,495.22928166389465)
(45,411.940256357193)
(50,398.2201428413391)
(55,351.8599486351013)
(60,233.42425084114075)

(0,242.59001278877258)
(5,363.4585621356964)
(10,444.9397234916687)
(15,387.91481924057007)
(20,415.97762274742126)
(25,476.80678248405457)
(30,479.0983533859253)
(35,394.270592212677)
(40,495.22928166389465)
(45,411.940256357193)
(50,398.2201428413391)
(55,351.8599486351013)
(60,233.42425084114075)

(0,480.3202133178711)
(5,573.5964004993439)
(10,475.7266616821289)
(15,649.5753588676453)
(20,559.3090074062347)
(25,425.63756561279297)
(30,426.75923919677734)
(35,481.2532494068146)
(40,692.6923961639404)
(45,794.1064023971558)
(50,700.1568319797516)
(55,763.9204876422882)
(60,607.2089080810547)

