(Step,Cost)
(0.15096449851989746,375500)
(0.25142359733581543,373500)
(0.302227258682251,361000)
(0.35298848152160645,357000)
(0.5529026985168457,352500)
(1.2014758586883545,347500)
(1.650383710861206,337500)
(1.9486148357391357,283500)
(2.6927602291107178,264000)
(3.5930795669555664,244500)
(4.494403839111328,229000)
(4.594926357269287,221500)
(5.941997766494751,219500)
(14.401339530944824,211000)
(29.01139187812805,209500)
(30.311758756637573,204000)
(64.66854238510132,203500)
(81.80208086967468,202000)
(82.7045955657959,201000)
(101.40368938446045,185500)
(105.37565517425537,157500)
(115.05896091461182,132500)
(117.41467785835266,129000)
(139.73863005638123,123500)
(142.7310242652893,115000)
(162.3751494884491,114500)
(166.57831287384033,113000)
(185.59719038009644,112500)
(190.43977642059326,103000)
(191.79328608512878,100000)
(192.9927113056183,99500)
(227.2960488796234,99000)
(233.03403425216675,93500)
(235.1823661327362,70000)
(256.228896856308,69500)
(277.686350107193,69000)
(283.32615876197815,65500)
(306.6529595851898,64500)
(308.16095447540283,60000)
(328.12744879722595,59000)
(330.4322693347931,58500)
(332.031375169754,58000)
(359.12926602363586,53500)
(380.1471996307373,53000)
(382.02090311050415,52500)
(383.9356529712677,41500)
(404.0995762348175,41000)
(405.0991778373718,40500)
(430.4009234905243,40000)
(431.6559360027313,39500)
(432.7137670516968,39000)
(454.71380138397217,38000)
(483.6841821670532,36000)
(485.79002237319946,30000)
(521.7621955871582,29500)
(523.7576396465302,27000)
(552.0359442234039,26500)
(574.929276227951,26000)
(575.7330751419067,24000)
(598.3941917419434,23500)
(601.0679321289062,23000)
(601.3197002410889,22500)
(624.8382697105408,21500)
(624.8893105983734,19000)
(648.9727160930634,18500)
(649.479010105133,18000)
(650.1847112178802,14000)
(698.9314565658569,11000)
(716.7195827960968,10000)
(741.9213919639587,9500)
(743.7171838283539,8000)
(783.9864037036896,7500)
(784.3372144699097,7000)
(809.162446975708,6500)
(809.566666841507,6000)
(834.4668538570404,3500)
(878.3870239257812,3000)
(921.5339515209198,2500)
(980.826712846756,1500)
(1057.0181109905243,1000)
(1081.3155999183655,0)
(0.1254744529724121,314500)
(0.2502176761627197,272500)
(0.373746395111084,248500)
(0.7015056610107422,243500)
(0.7434320449829102,224000)
(1.0322043895721436,219500)
(1.3243753910064697,210500)
(1.4487369060516357,189500)
(2.1762635707855225,178000)
(2.496964693069458,168000)
(17.50367546081543,159000)
(33.95210933685303,143000)
(44.791494607925415,142500)
(45.32476329803467,141500)
(45.44835424423218,135000)
(45.81137228012085,96500)
(46.05363488197327,91500)
(47.67776656150818,79500)
(48.687092304229736,79000)
(59.08537769317627,77000)
(59.617472410202026,76500)
(60.48198103904724,71500)
(63.25926947593689,64000)
(63.42412233352661,56500)
(68.25065875053406,56000)
(73.85291862487793,55000)
(76.70182394981384,53000)
(78.08463501930237,51000)
(83.53043007850647,50500)
(95.11906909942627,50000)
(108.23352575302124,49500)
(108.76438903808594,49000)
(109.20929479598999,48500)
(109.57484602928162,48000)
(133.45397686958313,47500)
(133.49554705619812,47000)
(148.50730538368225,46500)
(163.0838553905487,46000)
(163.45189356803894,45500)
(163.49369263648987,43500)
(180.55905652046204,42500)
(191.39529252052307,42000)
(206.03277945518494,41500)
(209.13154006004333,38000)
(221.5535705089569,37000)
(221.67681455612183,36500)
(236.0276997089386,36000)
(237.08618593215942,35500)
(251.57483887672424,35000)
(251.65765261650085,34500)
(276.58008456230164,32000)
(290.5883095264435,31500)
(291.40625953674316,30500)
(305.17918586730957,28500)
(320.22273659706116,27500)
(320.7956600189209,26500)
(345.61004543304443,25500)
(361.7431380748749,23000)
(376.3863937854767,22500)
(388.7091236114502,22000)
(403.4957420825958,21500)
(403.70209860801697,19500)
(404.1924178600311,19000)
(404.5597240924835,18500)
(406.920773267746,17000)
(418.5434203147888,16500)
(419.3169631958008,15500)
(443.8082573413849,11000)
(443.8911979198456,10500)
(458.5635905265808,9500)
(501.3230755329132,9000)
(535.830855846405,8000)
(552.8127725124359,7000)
(573.3577897548676,6500)
(574.7687077522278,3000)
(574.8096525669098,2000)
(598.2842922210693,0)
